Item(s),Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9
15,frankfurter,sausage,citrus fruit,tropical fruit,pip fruit,whole milk,hard cheese,cream cheese,domestic eggs
1,sparkling wine,,,,,,,,
1,specialty bar,,,,,,,,
3,sausage,butter milk,rolls/buns,,,,,,
1,curd cheese,,,,,,,,
2,frankfurter,dessert,,,,,,,
5,whole milk,yogurt,beverages,brown bread,shopping bags,,,,
1,newspapers,,,,,,,,
2,berries,soda,,,,,,,
3,curd,flour,liquor (appetizer),,,,,,
3,tropical fruit,other vegetables,coffee,,,,,,
1,soda,,,,,,,,
2,rolls/buns,Instant food products,,,,,,,
1,canned beer,,,,,,,,
1,canned beer,,,,,,,,
5,frankfurter,sausage,whole milk,rolls/buns,margarine,,,,
3,other vegetables,misc. beverages,canned beer,,,,,,
2,whole milk,frozen vegetables,,,,,,,
1,whole milk,,,,,,,,
7,citrus fruit,butter,cream cheese,white bread,oil,margarine,newspapers,,
2,frankfurter,rolls/buns,,,,,,,
10,frankfurter,ham,pip fruit,other vegetables,whole milk,soft cheese,frozen vegetables,rolls/buns,sugar
5,butter milk,yogurt,honey,soda,detergent,,,,
6,hamburger meat,citrus fruit,onions,rolls/buns,bottled water,dental care,,,
2,pasta,popcorn,,,,,,,
6,other vegetables,whole milk,meat spreads,cake bar,chocolate,shopping bags,,,
7,sausage,pork,citrus fruit,dessert,white bread,dishes,candles,,
1,rolls/buns,,,,,,,,
6,grapes,other vegetables,curd,dessert,yogurt,napkins,,,
9,root vegetables,other vegetables,whole milk,yogurt,beverages,soft cheese,frozen vegetables,fruit/vegetable juice,bottled beer
2,coffee,shopping bags,,,,,,,
1,popcorn,,,,,,,,
5,whole milk,rolls/buns,sugar,bottled water,soda,,,,
5,tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,snack products,,,,
5,beef,herbs,flour,cling film/bags,flower soil/fertilizer,,,,
4,whole milk,butter,dessert,rolls/buns,,,,,
3,frankfurter,soda,chewing gum,,,,,,
3,tropical fruit,specialty cheese,bottled water,,,,,,
1,canned beer,,,,,,,,
4,finished products,other vegetables,frozen vegetables,bottled beer,,,,,
2,beverages,soda,,,,,,,
3,hamburger meat,root vegetables,whole milk,,,,,,
3,whole milk,pastry,long life bakery product,,,,,,
3,finished products,white wine,shopping bags,,,,,,
1,other vegetables,,,,,,,,
8,ham,tropical fruit,other vegetables,whole milk,white bread,brown bread,fruit/vegetable juice,bottled beer,
1,other vegetables,,,,,,,,
5,curd,butter milk,cocoa drinks,salty snack,popcorn,,,,
1,bottled beer,,,,,,,,
8,curd,dessert,soda,salty snack,waffles,cake bar,chocolate,shopping bags,
4,whole milk,cream cheese,cereals,dog food,,,,,
2,whole milk,salt,,,,,,,
2,dessert,ice cream,,,,,,,
3,sausage,soft cheese,coffee,,,,,,
5,other vegetables,bottled water,waffles,dishes,shopping bags,,,,
3,ham,whole milk,rolls/buns,,,,,,
2,other vegetables,ice cream,,,,,,,
2,other vegetables,bottled water,,,,,,,
4,soda,bottled beer,white wine,prosecco,,,,,
2,herbs,candy,,,,,,,
23,frankfurter,ham,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,butter,curd
2,rolls/buns,canned beer,,,,,,,
7,curd,cream cheese,semi-finished bread,zwieback,cake bar,specialty bar,shopping bags,,
6,frankfurter,tropical fruit,whole milk,spread cheese,margarine,shopping bags,,,
1,other vegetables,,,,,,,,
1,dog food,,,,,,,,
1,specialty bar,,,,,,,,
5,curd,salt,liquor (appetizer),detergent,shopping bags,,,,
2,frankfurter,rolls/buns,,,,,,,
1,soda,,,,,,,,
7,beef,berries,root vegetables,whole milk,dessert,spread cheese,brown bread,,
1,canned beer,,,,,,,,
5,pork,beef,pip fruit,herbs,spices,,,,
5,frankfurter,citrus fruit,UHT-milk,margarine,sugar,,,,
3,sausage,bottled beer,liquor (appetizer),,,,,,
1,canned beer,,,,,,,,
1,specialty chocolate,,,,,,,,
2,curd,rolls/buns,,,,,,,
1,canned beer,,,,,,,,
3,whole milk,bottled water,newspapers,,,,,,
2,rolls/buns,chewing gum,,,,,,,
5,pork,root vegetables,other vegetables,whole milk,dishes,,,,
2,citrus fruit,pastry,,,,,,,
1,potted plants,,,,,,,,
3,rolls/buns,pastry,soda,,,,,,
6,butter,yogurt,bottled water,soda,make up remover,hygiene articles,,,
4,condensed milk,sugar,coffee,shopping bags,,,,,
5,sausage,other vegetables,yogurt,soda,shopping bags,,,,
4,whole milk,beverages,UHT-milk,soda,,,,,
6,sausage,pork,beef,whole milk,rolls/buns,margarine,,,
1,beverages,,,,,,,,
2,beverages,specialty bar,,,,,,,
2,bottled water,fruit/vegetable juice,,,,,,,
1,newspapers,,,,,,,,
2,cleaner,female sanitary products,,,,,,,
4,sausage,soda,newspapers,shopping bags,,,,,
1,newspapers,,,,,,,,
12,sausage,beef,citrus fruit,other vegetables,whole milk,butter milk,whipped/sour cream,beverages,hard cheese
2,misc. beverages,newspapers,,,,,,,
1,white wine,,,,,,,,
6,sausage,sliced cheese,rolls/buns,soda,canned beer,shopping bags,,,
4,meat,curd,bottled beer,cake bar,,,,,
8,frankfurter,meat,tropical fruit,onions,oil,baking powder,tea,cling film/bags,
3,ice cream,rolls/buns,canned beer,,,,,,
1,canned beer,,,,,,,,
6,tropical fruit,berries,root vegetables,other vegetables,bottled water,shopping bags,,,
12,meat,citrus fruit,other vegetables,curd,dessert,butter milk,beverages,cream cheese,rolls/buns
3,whole milk,mustard,bottled water,,,,,,
8,sausage,beef,beverages,sliced cheese,rolls/buns,spices,house keeping products,flower (seeds),
9,frankfurter,sausage,root vegetables,butter,curd,sliced cheese,rolls/buns,salty snack,long life bakery product
4,meat,other vegetables,butter,rolls/buns,,,,,
5,root vegetables,beverages,Instant food products,pickled vegetables,detergent,,,,
6,root vegetables,herbs,other vegetables,whole milk,sliced cheese,rolls/buns,,,
4,whole milk,whipped/sour cream,semi-finished bread,margarine,,,,,
16,citrus fruit,whole milk,curd,dessert,yogurt,whipped/sour cream,frozen dessert,rolls/buns,salt
7,citrus fruit,curd,pastry,margarine,sugar,candy,newspapers,,
8,other vegetables,whole milk,bottled water,soda,misc. beverages,bottled beer,red/blush wine,napkins,
3,citrus fruit,whole milk,rolls/buns,,,,,,
4,sausage,oil,hygiene articles,napkins,,,,,
11,frankfurter,beef,hamburger meat,grapes,root vegetables,whole milk,butter,frozen dessert,potato products
4,hard cheese,rolls/buns,bottled water,newspapers,,,,,
4,cream cheese,rolls/buns,soda,chocolate,,,,,
5,turkey,beef,frozen vegetables,dishes,photo/film,,,,
6,pork,other vegetables,whipped/sour cream,rolls/buns,soda,shopping bags,,,
2,whole milk,beverages,,,,,,,
2,rolls/buns,soda,,,,,,,
9,sausage,pip fruit,whole milk,curd,yogurt,sliced cheese,rolls/buns,bottled water,hygiene articles
1,ice cream,,,,,,,,
1,liquor,,,,,,,,
3,pip fruit,other vegetables,fruit/vegetable juice,,,,,,
3,root vegetables,other vegetables,yogurt,,,,,,
1,soda,,,,,,,,
1,soda,,,,,,,,
11,sausage,citrus fruit,tropical fruit,other vegetables,whole milk,yogurt,rolls/buns,bottled water,soda
4,root vegetables,whole milk,pet care,detergent,,,,,
6,pork,berries,root vegetables,other vegetables,pastry,specialty bar,,,
1,pork,,,,,,,,
1,chocolate,,,,,,,,
1,fruit/vegetable juice,,,,,,,,
2,pickled vegetables,coffee,,,,,,,
1,bottled water,,,,,,,,
7,frankfurter,sausage,butter,whipped/sour cream,rolls/buns,margarine,spices,,
12,tropical fruit,pip fruit,onions,other vegetables,whole milk,domestic eggs,sugar,soups,tea
1,canned beer,,,,,,,,
1,root vegetables,,,,,,,,
6,meat,citrus fruit,berries,root vegetables,whole milk,soda,,,
5,frankfurter,rolls/buns,bottled water,fruit/vegetable juice,hygiene articles,,,,
3,tropical fruit,margarine,rum,,,,,,
8,tropical fruit,root vegetables,herbs,whole milk,butter milk,whipped/sour cream,flour,hygiene articles,
11,citrus fruit,pip fruit,root vegetables,other vegetables,whole milk,cream cheese,domestic eggs,brown bread,margarine
11,hamburger meat,other vegetables,whole milk,curd,yogurt,rolls/buns,pastry,semi-finished bread,margarine
11,chicken,pip fruit,other vegetables,whole milk,dessert,yogurt,whipped/sour cream,rolls/buns,pasta
7,chicken,citrus fruit,tropical fruit,root vegetables,whole milk,frozen fish,rolls/buns,,
8,frankfurter,citrus fruit,onions,other vegetables,whole milk,rolls/buns,sugar,soda,
1,canned beer,,,,,,,,
4,turkey,pip fruit,salad dressing,pastry,,,,,
10,packaged fruit/vegetables,whole milk,curd,yogurt,domestic eggs,brown bread,mustard,pickled vegetables,bottled water
1,pasta,,,,,,,,
2,citrus fruit,tropical fruit,,,,,,,
6,sausage,whole milk,yogurt,rolls/buns,brown bread,potted plants,,,
5,whole milk,frozen meals,pastry,fruit/vegetable juice,waffles,,,,
1,canned beer,,,,,,,,
3,citrus fruit,sugar,sauces,,,,,,
1,liquor (appetizer),,,,,,,,
5,citrus fruit,other vegetables,rolls/buns,salty snack,shopping bags,,,,
1,sausage,,,,,,,,
9,chicken,other vegetables,whole milk,vinegar,oil,bottled water,canned beer,napkins,newspapers
9,hamburger meat,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,specialty cheese,flour,margarine
7,sausage,pork,other vegetables,dessert,yogurt,oil,soda,,
6,beef,berries,root vegetables,whole milk,whipped/sour cream,abrasive cleaner,,,
4,citrus fruit,packaged fruit/vegetables,yogurt,bottled water,,,,,
2,UHT-milk,coffee,,,,,,,
1,candy,,,,,,,,
1,newspapers,,,,,,,,
4,beef,citrus fruit,other vegetables,yogurt,,,,,
2,sausage,rolls/buns,,,,,,,
13,frankfurter,beef,root vegetables,curd,dessert,yogurt,soft cheese,rolls/buns,mustard
1,canned beer,,,,,,,,
1,bottled beer,,,,,,,,
5,onions,soda,chewing gum,chocolate,newspapers,,,,
5,tropical fruit,packaged fruit/vegetables,cream cheese,white bread,candy,,,,
2,bottled water,white wine,,,,,,,
5,beef,white bread,pastry,pasta,soap,,,,
9,sausage,chicken,tropical fruit,root vegetables,whole milk,yogurt,candy,abrasive cleaner,cleaner
1,hair spray,,,,,,,,
5,chicken,whole milk,spices,long life bakery product,shopping bags,,,,
6,pork,citrus fruit,brown bread,pastry,sugar,cat food,,,
1,ice cream,,,,,,,,
3,meat,hard cheese,bottled beer,,,,,,
4,other vegetables,yogurt,brown bread,instant coffee,,,,,
2,bottled water,cake bar,,,,,,,
3,tropical fruit,soda,salty snack,,,,,,
1,photo/film,,,,,,,,
7,sausage,citrus fruit,yogurt,coffee,soda,canned beer,dishes,,
2,grapes,root vegetables,,,,,,,
3,domestic eggs,brown bread,photo/film,,,,,,
3,rolls/buns,canned fish,canned beer,,,,,,
2,tropical fruit,whole milk,,,,,,,
1,chicken,,,,,,,,
5,frankfurter,other vegetables,yogurt,brown bread,bottled water,,,,
11,berries,root vegetables,other vegetables,curd,butter milk,cream cheese,roll products,margarine,misc. beverages
2,margarine,hygiene articles,,,,,,,
5,tropical fruit,yogurt,rolls/buns,soda,shopping bags,,,,
9,ham,other vegetables,whipped/sour cream,hard cheese,rolls/buns,soda,misc. beverages,chocolate,candy
3,hamburger meat,white bread,salty snack,,,,,,
5,yogurt,mayonnaise,rolls/buns,soda,napkins,,,,
2,soda,specialty chocolate,,,,,,,
1,yogurt,,,,,,,,
1,soda,,,,,,,,
1,bottled water,,,,,,,,
4,sausage,meat,hamburger meat,rubbing alcohol,,,,,
8,citrus fruit,pip fruit,beverages,hard cheese,pet care,soda,fruit/vegetable juice,waffles,
1,shopping bags,,,,,,,,
1,newspapers,,,,,,,,
8,frankfurter,other vegetables,whole milk,curd,frozen potato products,zwieback,specialty bar,dish cleaner,
4,sausage,citrus fruit,whole milk,canned beer,,,,,
2,frankfurter,rolls/buns,,,,,,,
3,salt,salty snack,cookware,,,,,,
1,oil,,,,,,,,
8,curd,beverages,cream cheese,rolls/buns,pastry,soda,cake bar,chewing gum,
3,other vegetables,butter,specialty chocolate,,,,,,
1,citrus fruit,,,,,,,,
3,frankfurter,whole milk,butter milk,,,,,,
6,root vegetables,whole milk,butter,processed cheese,mayonnaise,salty snack,,,
4,tropical fruit,whole milk,frozen meals,bottled beer,,,,,
3,beef,hamburger meat,pip fruit,,,,,,
5,berries,whipped/sour cream,cereals,waffles,shopping bags,,,,
1,canned beer,,,,,,,,
3,whipped/sour cream,canned beer,red/blush wine,,,,,,
5,root vegetables,domestic eggs,margarine,chocolate marshmallow,candy,,,,
2,whole milk,soda,,,,,,,
1,beef,,,,,,,,
1,frozen vegetables,,,,,,,,
2,rolls/buns,bottled beer,,,,,,,
2,whole milk,hygiene articles,,,,,,,
1,whole milk,,,,,,,,
4,citrus fruit,whole milk,curd,soft cheese,,,,,
2,pastry,fruit/vegetable juice,,,,,,,
8,frankfurter,sausage,pork,pip fruit,butter,processed cheese,white bread,brown bread,
5,tropical fruit,root vegetables,whole milk,whipped/sour cream,domestic eggs,,,,
7,frankfurter,sausage,root vegetables,yogurt,whipped/sour cream,pastry,napkins,,
10,berries,root vegetables,other vegetables,packaged fruit/vegetables,whole milk,curd,curd cheese,cat food,specialty bar
5,rolls/buns,brown bread,pastry,coffee,bottled beer,,,,
7,root vegetables,packaged fruit/vegetables,curd,dessert,frozen vegetables,specialty fat,coffee,,
1,yogurt,,,,,,,,
2,other vegetables,bottled water,,,,,,,
2,berries,white bread,,,,,,,
2,berries,coffee,,,,,,,
4,other vegetables,butter milk,frozen meals,bottled water,,,,,
2,rolls/buns,newspapers,,,,,,,
8,ham,citrus fruit,whole milk,whipped/sour cream,rolls/buns,pastry,waffles,hygiene articles,
4,whole milk,frozen dessert,salty snack,napkins,,,,,
4,tropical fruit,butter milk,rolls/buns,bottled water,,,,,
1,bottled water,,,,,,,,
2,butter milk,yogurt,,,,,,,
1,newspapers,,,,,,,,
1,coffee,,,,,,,,
2,bottled beer,liquor,,,,,,,
11,onions,butter,whipped/sour cream,hard cheese,frozen vegetables,pasta,specialty fat,syrup,candy
7,hamburger meat,hard cheese,frozen meals,pasta,dog food,salty snack,shopping bags,,
7,sausage,liver loaf,other vegetables,cream cheese,pastry,soap,shopping bags,,
3,hard cheese,pastry,napkins,,,,,,
4,sausage,tropical fruit,condensed milk,rolls/buns,,,,,
1,hamburger meat,,,,,,,,
4,onions,whole milk,beverages,frozen dessert,,,,,
1,coffee,,,,,,,,
1,shopping bags,,,,,,,,
6,yogurt,rolls/buns,pastry,bottled water,soda,shopping bags,,,
1,soda,,,,,,,,
1,sliced cheese,,,,,,,,
3,sausage,whole milk,coffee,,,,,,
2,yogurt,chocolate,,,,,,,
4,domestic eggs,rolls/buns,dish cleaner,hygiene articles,,,,,
1,whole milk,,,,,,,,
4,meat,other vegetables,whole milk,whipped/sour cream,,,,,
4,dish cleaner,bathroom cleaner,hygiene articles,napkins,,,,,
2,other vegetables,red/blush wine,,,,,,,
10,whole milk,butter milk,yogurt,sliced cheese,rolls/buns,sweet spreads,coffee,fruit/vegetable juice,long life bakery product
4,other vegetables,whole milk,rolls/buns,Instant food products,,,,,
2,tropical fruit,other vegetables,,,,,,,
4,baking powder,bottled water,salty snack,chewing gum,,,,,
1,specialty bar,,,,,,,,
1,ice cream,,,,,,,,
2,frankfurter,yogurt,,,,,,,
1,canned beer,,,,,,,,
1,bottled water,,,,,,,,
6,other vegetables,whole milk,rolls/buns,margarine,bottled water,bottled beer,,,
5,citrus fruit,tropical fruit,onions,other vegetables,shopping bags,,,,
7,sausage,ham,hamburger meat,whole milk,soda,softener,newspapers,,
4,domestic eggs,rolls/buns,specialty bar,napkins,,,,,
7,pork,citrus fruit,tropical fruit,root vegetables,other vegetables,curd,hygiene articles,,
6,specialty cheese,frozen vegetables,coffee,soda,fruit/vegetable juice,salty snack,,,
6,pork,citrus fruit,pip fruit,yogurt,fruit/vegetable juice,sparkling wine,,,
5,beef,berries,whipped/sour cream,domestic eggs,rolls/buns,,,,
2,other vegetables,pet care,,,,,,,
6,chicken,yogurt,sliced cheese,rolls/buns,chewing gum,dishes,,,
2,soda,chewing gum,,,,,,,
1,whole milk,,,,,,,,
1,rolls/buns,,,,,,,,
1,bottled beer,,,,,,,,
4,root vegetables,pastry,bottled water,male cosmetics,,,,,
1,pastry,,,,,,,,
4,berries,pet care,cake bar,shopping bags,,,,,
8,citrus fruit,tropical fruit,root vegetables,yogurt,canned vegetables,bottled water,soda,softener,
4,whole milk,oil,canned fruit,fruit/vegetable juice,,,,,
2,soda,misc. beverages,,,,,,,
2,bottled water,soda,,,,,,,
3,tropical fruit,other vegetables,rolls/buns,,,,,,
1,salty snack,,,,,,,,
2,bottled water,canned beer,,,,,,,
1,chocolate,,,,,,,,
4,citrus fruit,UHT-milk,cream cheese,frozen vegetables,,,,,
3,bottled water,canned beer,male cosmetics,,,,,,
6,onions,other vegetables,pastry,bottled water,soda,napkins,,,
4,dessert,oil,cat food,soda,,,,,
11,beef,other vegetables,whole milk,frozen potato products,rolls/buns,oil,margarine,coffee,dental care
7,rolls/buns,zwieback,bottled water,misc. beverages,bottled beer,canned beer,brandy,,
7,beef,tropical fruit,root vegetables,onions,other vegetables,instant coffee,soda,,
1,soda,,,,,,,,
2,coffee,hygiene articles,,,,,,,
3,rolls/buns,brown bread,bottled water,,,,,,
9,pork,beef,hamburger meat,other vegetables,whole milk,frozen vegetables,rolls/buns,margarine,shopping bags
6,soda,canned beer,liquor (appetizer),hygiene articles,napkins,newspapers,,,
5,sausage,ham,other vegetables,ice cream,white bread,,,,
5,beef,root vegetables,other vegetables,rolls/buns,sugar,,,,
4,whole milk,butter,bottled water,bottled beer,,,,,
4,pork,ice cream,hygiene articles,house keeping products,,,,,
7,berries,packaged fruit/vegetables,whole milk,ice cream,fruit/vegetable juice,salty snack,specialty bar,,
8,sausage,other vegetables,curd,yogurt,whipped/sour cream,frozen vegetables,rolls/buns,roll products,
3,bottled water,misc. beverages,cling film/bags,,,,,,
8,tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,hard cheese,frozen dessert,rice,bottled water,
2,herbs,bottled water,,,,,,,
2,yogurt,rolls/buns,,,,,,,
1,Instant food products,,,,,,,,
1,specialty chocolate,,,,,,,,
1,coffee,,,,,,,,
2,bottled beer,liquor,,,,,,,
2,beef,root vegetables,,,,,,,
3,whole milk,honey,waffles,,,,,,
5,frankfurter,rolls/buns,pastry,snack products,specialty bar,,,,
10,frankfurter,sausage,liver loaf,root vegetables,curd,frozen vegetables,rolls/buns,semi-finished bread,hygiene articles
3,other vegetables,whole milk,cream cheese,,,,,,
5,frankfurter,root vegetables,pickled vegetables,soda,seasonal products,,,,
3,whole milk,rolls/buns,newspapers,,,,,,
3,frankfurter,margarine,dental care,,,,,,
2,other vegetables,salty snack,,,,,,,
2,bottled water,shopping bags,,,,,,,
8,pork,onions,whole milk,butter,rolls/buns,pastry,rum,hygiene articles,
1,bottled water,,,,,,,,
4,other vegetables,whipped/sour cream,specialty cheese,domestic eggs,,,,,
5,hamburger meat,whole milk,curd,pasta,canned beer,,,,
3,hamburger meat,citrus fruit,other vegetables,,,,,,
1,shopping bags,,,,,,,,
4,whole milk,cream cheese,soda,fruit/vegetable juice,,,,,
1,ice cream,,,,,,,,
2,pastry,bottled water,,,,,,,
14,ham,pip fruit,whole milk,curd,dessert,butter milk,whipped/sour cream,sliced cheese,cream cheese
2,frankfurter,soda,,,,,,,
11,sausage,turkey,beef,root vegetables,domestic eggs,rolls/buns,flour,rice,organic products
1,bottled beer,,,,,,,,
3,bottled water,bottled beer,napkins,,,,,,
6,meat,other vegetables,hard cheese,frozen meals,bottled water,soda,,,
2,dessert,candy,,,,,,,
4,other vegetables,packaged fruit/vegetables,UHT-milk,bottled water,,,,,
3,beverages,rolls/buns,soda,,,,,,
3,ham,mustard,canned fish,,,,,,
1,specialty bar,,,,,,,,
4,brown bread,soda,salty snack,shopping bags,,,,,
3,whole milk,cream cheese,coffee,,,,,,
3,rolls/buns,pastry,red/blush wine,,,,,,
2,bottled beer,nut snack,,,,,,,
2,pet care,bottled beer,,,,,,,
3,citrus fruit,other vegetables,soda,,,,,,
4,pork,other vegetables,frozen vegetables,hygiene articles,,,,,
2,other vegetables,shopping bags,,,,,,,
2,white wine,detergent,,,,,,,
3,whole milk,dessert,bottled water,,,,,,
3,pip fruit,white wine,shopping bags,,,,,,
3,sugar,soda,bottled beer,,,,,,
6,tropical fruit,pip fruit,rolls/buns,coffee,fruit/vegetable juice,candy,,,
10,root vegetables,cream cheese,spread cheese,frozen dessert,white bread,bottled water,soda,misc. beverages,fruit/vegetable juice
2,soda,misc. beverages,,,,,,,
2,whole milk,curd,,,,,,,
